store_group,store_id,promo_period_int,period_num,period_year,weekly_velocity_amount,weekly_velocity_quantity
film_control,9,63,11,2019,74.95,5
baseline_control,21,70,5,2020,89.95,5
program_test,5,46,7,2018,74.7,5.25
program_test,11,54,2,2019,89.2,5.25
baseline_control,19,65,13,2019,96.45,5.25
baseline_control,27,68,3,2020,94.45,5.25
baseline_control,3,51,12,2018,104.44,5.5
baseline_control,19,63,11,2019,98.94,5.5
baseline_control,6,69,4,2020,98.94,5.5
program_test,5,70,5,2020,90.94,5.5
baseline_control,19,73,8,2020,98.94,5.5
baseline_control,25,74,9,2020,98.94,5.5
baseline_control,40,76,11,2020,87.94,5.5
program_test,34,76,11,2020,87.95,5.5
program_test,5,59,7,2019,84.44,5.75
baseline_control,17,72,7,2020,103.44,5.75
baseline_control,1,74,9,2020,97.69,5.75
baseline_control,35,47,8,2018,4.75,0.25
baseline_control,35,48,9,2018,4.75,0.25
baseline_control,13,57,5,2019,4.75,0.25
baseline_control,16,61,9,2019,4.5,0.25
baseline_control,18,76,11,2020,5.25,0.25
baseline_control,40,46,7,2018,117.17,8
baseline_control,40,50,11,2018,95.94,6
film_control,41,50,11,2018,95.94,6
baseline_control,4,50,11,2018,110.43,6.5
baseline_control,4,55,3,2019,148.91,9
film_control,41,59,7,2019,94.19,6.5
baseline_control,40,59,7,2019,102.43,6.75
baseline_control,4,64,12,2019,130.43,7.25
baseline_control,1,66,1,2020,110.43,6.5
baseline_control,26,67,2,2020,125.93,7
baseline_control,26,68,3,2020,152.91,8.5
baseline_control,4,69,4,2020,215.88,12
baseline_control,25,69,4,2020,125.93,7
program_test,5,69,4,2020,135.92,8
baseline_control,26,70,5,2020,134.92,7.5
baseline_control,3,70,5,2020,197.89,11
program_test,5,72,7,2020,178.88,11.75
baseline_control,7,72,7,2020,125.93,7
baseline_control,10,74,9,2020,139.42,7.75
program_test,5,75,10,2020,127.42,7.5
film_control,9,76,11,2020,99.94,6.25
baseline_control,4,76,11,2020,143.92,8
baseline_control,28,45,6,2018,9.49,0.5
baseline_control,26,46,7,2018,8,0.5
baseline_control,24,48,9,2018,8.99,0.5
baseline_control,2,48,9,2018,9.49,0.5
baseline_control,10,48,9,2018,9.49,0.5
baseline_control,17,49,10,2018,9.49,0.5
baseline_control,17,52,13,2018,9.49,0.5
baseline_control,29,52,13,2018,8.49,0.5
baseline_control,16,53,1,2019,8.99,0.5
baseline_control,13,54,2,2019,8.49,0.5
baseline_control,17,57,5,2019,8.99,0.5
baseline_control,23,62,10,2019,8.99,0.5
baseline_control,17,67,2,2020,8.99,0.5
film_control,33,50,11,2018,11.99,0.75
film_control,41,51,12,2018,13.24,0.75
baseline_control,25,52,13,2018,14.24,0.75
baseline_control,28,56,4,2019,12.99,0.75
baseline_control,29,57,5,2019,13.74,0.75
baseline_control,37,57,5,2019,14.24,0.75
baseline_control,29,58,6,2019,13.49,0.75
baseline_control,17,64,12,2019,13.49,0.75
baseline_control,24,65,13,2019,14.99,0.75
baseline_control,18,71,6,2020,15.74,0.75
baseline_control,35,46,7,2018,15.99,1
film_control,33,47,8,2018,16.99,1
film_control,9,47,8,2018,16.99,1
baseline_control,24,47,8,2018,16.99,1
program_test,36,48,9,2018,17.49,1
baseline_control,35,49,10,2018,18.99,1
baseline_control,15,49,10,2018,18.99,1
baseline_control,26,50,11,2018,16.99,1
baseline_control,30,52,13,2018,18.99,1
baseline_control,27,53,1,2019,17.99,1
baseline_control,39,55,3,2019,18.24,1
baseline_control,14,57,5,2019,18.49,1
baseline_control,14,58,6,2019,17.99,1
baseline_control,16,64,12,2019,17.99,1
baseline_control,22,65,13,2019,18.99,1
film_control,41,69,4,2020,17.99,1
baseline_control,14,70,5,2020,15.99,1
baseline_control,22,70,5,2020,18.99,1
baseline_control,20,75,10,2020,18.99,1
baseline_control,20,47,8,2018,23.74,1.25
baseline_control,37,54,2,2019,23.74,1.25
baseline_control,16,55,3,2019,20.99,1.25
baseline_control,18,60,8,2019,24.99,1.25
baseline_control,31,60,8,2019,23.74,1.25
baseline_control,30,61,9,2019,22.49,1.25
baseline_control,29,65,13,2019,21.24,1.25
program_test,11,65,13,2019,21.24,1.25
program_test,36,65,13,2019,21.24,1.25
film_control,41,66,1,2020,22.24,1.25
baseline_control,16,66,1,2020,22.49,1.25
baseline_control,14,71,6,2020,19.99,1.25
baseline_control,18,72,7,2020,24.74,1.25
baseline_control,37,73,8,2020,23.74,1.25
film_control,41,75,10,2020,21.24,1.25
baseline_control,32,48,9,2018,26.98,1.5
film_control,41,48,9,2018,26.23,1.5
baseline_control,32,53,1,2019,26.98,1.5
baseline_control,8,55,3,2019,26.23,1.5
baseline_control,17,56,4,2019,25.48,1.5
